cv_id,organization,position,status,startDate,endDate,linkedin
0,"Keeping The Books, Bookkeeping",Bookkeeper,ACTIVE,2023-03,,
0,Playful Paws,Co-Owner,ACTIVE,2018-11,,
1,Erste Bank und Sparkasse,Strategy & Investments,ACTIVE,2025-03,,https://www.linkedin.com/company/erste-bank-und-sparkasse
2,Guido Meyer,Corporate Auditor,ACTIVE,2022-07,,
2,Guido Meyer,Corporate Auditor,ACTIVE,2022-07,,
4,Tradeware AG,Marketing Manager,ACTIVE,2020-07,,https://www.linkedin.com/company/tradeware-ag
5,Monash University,Professor,ACTIVE,2022-07,,
5,Monash University,"Deputy Dean, Faculty of IT",ACTIVE,2022-07,,
5,Oceania Cyber Security Centre #OCSC,Research Director,ACTIVE,2020-01,,https://www.linkedin.com/company/oceania-cyber-security-centre
6,Faurecia Innenraum Systeme GmbH,Program Purchasing Leader / Program / Acquisition Buyer,ACTIVE,2004-05,,
8,ALSO Deutschland GmbH,Business Analyst,ACTIVE,1992-06,,https://www.linkedin.com/company/alsogroup
10,Brandtner IT,Managementberater IT- und Governance,ACTIVE,2024-03,,
11,DGC FILM WORKS,Founder & CEO,ACTIVE,2020-06,,https://www.linkedin.com/company/dgcfilmworks
11,DGC FILM WORKS,Senior Video Editor,ACTIVE,2016-01,,https://www.linkedin.com/company/dgcfilmworks
11,DGC FILM WORKS,Senior Video Editor,ACTIVE,2014-06,,https://www.linkedin.com/company/dgcfilmworks
12,auris Steuerberatung OG,Geschäftsführer,ACTIVE,2019-10,,
14,Daimler AG,Manager,ACTIVE,1997-11,,https://www.linkedin.com/company/mercedes-benz_ag
16,Gladsaxe Kommune,Koordinerende sagsbehandler,ACTIVE,2022-05,,https://www.linkedin.com/company/gladsaxekommune
17,Aglukon Spezialdünger GmbH & Co. KG,Head of Supply Chain,ACTIVE,2024-09,,https://www.linkedin.com/company/aglukon
18,delta pronatura GmbH,Director of Finance (China),ACTIVE,2024-08,,https://www.linkedin.com/company/drbeckmanngroup
19,Bettina Kern,Inhaber,ACTIVE,1994-03,,https://www.linkedin.com/company/bettina-kern
20,Policen Direkt-Gruppe,Geschäftsführer CFO,ACTIVE,2004-01,,https://www.linkedin.com/company/policen-direkt-gmbh
20,cash.life AG,Vorstand,ACTIVE,2022-10,,https://www.linkedin.com/company/cash-life-ag
20,Thinksurance,Investor,ACTIVE,2015,,https://www.linkedin.com/company/thinksurance-gmbh
